strategy,total_configs,successful,failed,success_rate_pct,total_time_s,best_area,mean_area,best_latency,mean_latency,pareto_points,unique_qor_points,benchmark,initial_configs,static_blocked,static_suppressed,autophagy_suppressed,actual_runs,budget_saving_vs_full_pct
Grid Search,20.0,20,0,100.0,405.3,359.0,409.5,8.0,10.8,4,7,,,,,,,
Random 30%,18.0,12,6,66.7,295.9,359.0,406.6,8.0,10.9,1,7,,,,,,,
LHS 20%,13.0,7,6,53.8,212.8,359.0,397.3,8.0,10.1,3,5,,,,,,,
PA-DSE,,20,0,100.0,407.5,359.0,406.1,8.0,11.2,8,7,histogram,60.0,20.0,0.0,0.0,20.0,66.7
