strategy,total_configs,successful,failed,success_rate_pct,total_time_s,best_area,mean_area,best_latency,mean_latency,pareto_points,unique_qor_points,benchmark,initial_configs,static_blocked,static_suppressed,autophagy_suppressed,actual_runs,budget_saving_vs_full_pct
Grid Search,10.0,3,7,30.0,200.2,359.0,359.3,8.0,9.3,1,3,,,,,,,
Random 30%,10.0,4,6,40.0,171.2,360.0,451.5,8.0,11.5,1,4,,,,,,,
LHS 20%,10.0,3,7,30.0,154.1,359.0,392.7,8.0,9.7,1,3,,,,,,,
PA-DSE,,10,0,100.0,208.8,359.0,405.7,9.0,12.2,2,4,histogram,240.0,80.0,120.0,0.0,10.0,95.8
