strategy,total_configs,successful,failed,success_rate_pct,total_time_s,best_area,mean_area,best_latency,mean_latency,pareto_points,unique_qor_points,benchmark,initial_configs,static_blocked,static_suppressed,autophagy_suppressed,actual_runs,budget_saving_vs_full_pct
Grid Search,10.0,3,7,30.0,196.1,201.0,201.0,6.0,6.7,2,2,,,,,,,
Random 30%,10.0,4,6,40.0,182.1,201.0,335.2,6.0,7.8,1,3,,,,,,,
LHS 20%,10.0,3,7,30.0,146.5,201.0,234.7,6.0,7.0,2,2,,,,,,,
PA-DSE,,10,0,100.0,205.4,201.0,264.8,6.0,7.7,2,5,vadd,240.0,80.0,0.0,0.0,10.0,95.8
