strategy,total_evaluated,successful,failed,success_rate_pct,total_time_s,best_components,mean_components,best_buffers,mean_buffers,benchmark
Grid Search,30,12,18,40.0,1359.5,42,42.8,5,5.8,binary_search
Random 30%,30,12,18,40.0,664.5,42,42.9,5,5.9,binary_search
LHS 20%,30,13,17,43.3,749.6,42,42.8,5,5.8,binary_search
PA-DSE,30,18,12,60.0,738.4,43,43.0,6,6.0,binary_search
