run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
PA-DSE_SCF+RPE-reorder_gcd_B30_sNone_3173321,PA-DSE_SCF+RPE-reorder,gcd,dynamatic,30,,1,SCF+RPE-reorder,2,0.8,5,0.05,30,25,5,83.3,component_count,43.0,43.0,549,6,17.331,374.497,0,0,,0,0,0,0.51,3.64,106.61
PA-DSE_SCF+RPE-reorder_gcd_B30_sNone_3547819,PA-DSE_SCF+RPE-reorder,gcd,dynamatic,30,,2,SCF+RPE-reorder,2,0.8,5,0.05,30,29,1,96.7,component_count,43.0,43.0,587,3,16.027,150.031,0,0,,0,0,0,0.58,3.32,93.79
PA-DSE_SCF+OFRS-skip_gcd_B30_sNone_3697850,PA-DSE_SCF+OFRS-skip,gcd,dynamatic,30,,0,SCF+OFRS-skip,2,0.8,5,0.05,1,0,1,0.0,component_count,,,,0,,0.667,191,191,,0,0,0,0.44,1.18,0.22
PA-DSE_SCF+OFRS-skip_gcd_B30_sNone_3698517,PA-DSE_SCF+OFRS-skip,gcd,dynamatic,30,,1,SCF+OFRS-skip,2,0.8,5,0.05,1,0,1,0.0,component_count,,,,0,,0.835,191,191,,0,0,0,0.34,1.98,0.22
PA-DSE_SCF+OFRS-skip_gcd_B30_sNone_3699352,PA-DSE_SCF+OFRS-skip,gcd,dynamatic,30,,2,SCF+OFRS-skip,2,0.8,5,0.05,30,29,1,96.7,component_count,43.0,43.0,587,3,15.875,158.199,0,0,,0,0,0,0.56,107.60,104.42
PA-DSE_no-filter_matching_B30_sNone_3857551,PA-DSE_no-filter,matching,dynamatic,30,,0,no-filter,2,0.8,5,0.05,30,15,15,50.0,component_count,58.0,58.0,310,10,10.740,422.681,0,0,,0,0,0,0.01,0.00,0.00
PA-DSE_no-filter_matching_B30_sNone_4280232,PA-DSE_no-filter,matching,dynamatic,30,,1,no-filter,2,0.8,5,0.05,30,15,15,50.0,component_count,59.0,59.0,310,11,10.158,298.077,0,0,,0,0,0,0.01,0.00,0.00
PA-DSE_no-filter_matching_B30_sNone_4578309,PA-DSE_no-filter,matching,dynamatic,30,,2,no-filter,2,0.8,5,0.05,30,21,9,70.0,component_count,61.0,61.0,340,7,8.399,295.844,0,0,,0,0,0,0.00,0.00,0.00
PA-DSE_SCF-only_matching_B30_sNone_4874153,PA-DSE_SCF-only,matching,dynamatic,30,,0,SCF-only,2,0.8,5,0.05,30,15,15,50.0,component_count,58.0,58.0,310,10,10.587,411.712,0,0,,0,0,0,0.59,0.00,0.00
PA-DSE_SCF-only_matching_B30_sNone_5285865,PA-DSE_SCF-only,matching,dynamatic,30,,1,SCF-only,2,0.8,5,0.05,30,15,15,50.0,component_count,59.0,59.0,310,11,10.072,290.433,0,0,,0,0,0,0.55,0.00,0.00
PA-DSE_SCF-only_matching_B30_sNone_5576298,PA-DSE_SCF-only,matching,dynamatic,30,,2,SCF-only,2,0.8,5,0.05,30,21,9,70.0,component_count,61.0,61.0,340,7,8.317,300.264,0,0,,0,0,0,0.56,0.00,0.00
PA-DSE_SCF+RPE_matching_B30_sNone_5876562,PA-DSE_SCF+RPE,matching,dynamatic,30,,0,SCF+RPE,2,0.8,5,0.05,30,15,15,50.0,component_count,58.0,58.0,310,10,10.592,424.970,0,0,,0,0,0,0.55,12.82,0.06
PA-DSE_SCF+RPE_matching_B30_sNone_6301533,PA-DSE_SCF+RPE,matching,dynamatic,30,,1,SCF+RPE,2,0.8,5,0.05,30,15,15,50.0,component_count,59.0,59.0,310,11,9.693,278.367,0,0,,0,0,0,0.60,7.62,0.06
PA-DSE_SCF+RPE_matching_B30_sNone_6579900,PA-DSE_SCF+RPE,matching,dynamatic,30,,2,SCF+RPE,2,0.8,5,0.05,30,21,9,70.0,component_count,61.0,61.0,340,7,8.791,291.450,0,0,,0,0,0,0.57,6.08,0.04
