method,n,sr_pct_mean,sr_pct_std,wasted_calls_mean,wasted_calls_std,ttff_s_mean,ttff_s_std,uqor_mean,uqor_std,best_area_mean,best_area_std,best_latency_mean,best_latency_std
Random,80,15.010000000000002,2.4900612569354874,51.0,1.4925977694160684,22.883425,25.357396459603134,6.4125,1.8602691380073972,473.125,206.38788448152545,10.9375,3.6014896706920134
FilteredRandom,80,18.49,3.389171139476174,48.9,2.0351344309157406,11.8618375,9.968791606166896,7.9,2.2535485378971156,473.9125,205.839878395744,10.9375,3.619020603227105
SA,80,18.415,29.375577990543114,48.95,17.62686384794312,2.4981666666666666,0.06043297880740477,4.275,6.982754525220951,464.125,202.54753870334395,10.583333333333334,3.5985101587071893
GA,80,50.575,26.77555327466749,29.65,16.06718489281015,7.741687499999999,6.165137328701286,11.775,7.08532982536291,464.125,199.8503805429817,10.609375,3.662842973810596
GP-BO,80,71.31625,6.962747961632332,17.2125,4.175558023800721,10.931887499999998,4.779429146024354,14.9375,4.34972354715893,464.125,199.5339110165729,10.275,3.209854289054571
RF,80,85.94750000000002,1.1238468069846623,8.4375,0.6721164380738757,14.333499999999997,8.286096178141895,17.1125,4.870457961988141,464.125,199.5339110165729,10.3125,3.239759914530314
PA-DSE,80,92.48999999999998,1.1027698154296666,4.5,0.6750527405556144,8.93445,5.798921291875506,19.1125,5.598358145389649,464.125,199.5339110165729,10.25,3.1722690836750447
