config,n,sr_pct_mean,sr_pct_std,wasted_calls_mean,wasted_calls_std,ttff_s_mean,ttff_s_std,signatures_learned_mean,signatures_learned_std,total_skipped_mean,total_skipped_std
no-filter,25,48.135999999999996,14.91307815308429,15.56,4.47288124888943,51.92320000000001,82.77220491203555,0.0,0.0,0.0,0.0
SCF-only,25,48.135999999999996,14.91307815308429,15.56,4.47288124888943,51.92320000000001,82.77220491203555,0.0,0.0,0.0,0.0
SCF+RPE,25,48.135999999999996,14.91307815308429,15.56,4.47288124888943,51.92320000000001,82.77220491203555,0.04,0.2,3.48,17.4
SCF+OFRS,25,89.6,4.114203041497426,3.12,1.2355835328567093,47.094800000000006,65.31363660063647,0.0,0.0,0.0,0.0
SCF+DFRL,25,89.6,4.114203041497426,3.12,1.2355835328567093,47.094800000000006,65.31363660063647,0.0,0.0,0.0,0.0
DFRL-only,25,89.6,4.114203041497426,3.12,1.2355835328567093,47.094800000000006,65.31363660063647,0.0,0.0,0.0,0.0
SCF+RPE-reorder,25,89.6,4.114203041497426,3.12,1.2355835328567093,47.094800000000006,65.31363660063647,0.0,0.0,0.0,0.0
SCF+OFRS-skip,25,7.736000000000001,26.77501758480593,1.0,0.0,18.53,16.730146442873714,0.0,0.0,175.72,52.88550526057841
