method,n,sr_pct_mean,sr_pct_std,wasted_calls_mean,wasted_calls_std,ttff_s_mean,ttff_s_std,uqor_mean,uqor_std,best_area_mean,best_area_std,best_latency_mean,best_latency_std
Random,40,52.904999999999994,14.108679816121924,14.125,4.231672397770328,29.499950000000002,73.60264312734135,8.75,2.5495097567963922,49.525,11.628848963037065,502.65,270.38998900448615
FilteredRandom,40,52.904999999999994,14.108679816121924,14.125,4.231672397770328,29.4976,73.54928607431228,8.75,2.5495097567963922,49.525,11.628848963037065,502.65,270.38998900448615
SA,40,55.415,23.516514110246778,13.375,7.055412543136379,51.260875,159.75426046615013,7.175,3.32733434541133,50.25,12.589678312014172,508.25,279.3295774179899
GA,40,66.84,14.787326521079653,9.95,4.437312654044517,29.50065,73.59120640212737,8.325,2.3576117859675993,49.45,11.641988551613398,503.325,270.3300345209584
GP-BO,40,90.0925,5.522605641988488,2.975,1.6561849890482396,50.120574999999995,78.02460047725498,7.675,4.097450739679803,49.35,11.260436754293144,511.3,269.6356706220356
RF,40,86.9125,6.505862740636325,3.925,1.9531368589383566,50.189,78.08195899969961,8.575,4.100578445749281,49.325,11.481060211920482,511.725,289.62398146739446
PA-DSE,40,92.005,4.260429134518777,2.4,1.2770157519659775,26.484724999999997,60.578613574974014,7.05,4.082168855412838,49.7,11.704042694070088,513.3,267.2137529087711
