strategy,total_configs,successful,failed,success_rate_pct,total_time_s,best_area,mean_area,best_latency,mean_latency,pareto_points,unique_qor_points,benchmark,initial_configs,static_blocked,static_suppressed,autophagy_suppressed,actual_runs,budget_saving_vs_full_pct
Grid Search,40.0,10,30,25.0,804.3,359.0,409.5,8.0,10.8,2,7,,,,,,,
Random 30%,40.0,9,31,22.5,704.5,359.0,459.8,8.0,11.7,1,6,,,,,,,
LHS 20%,40.0,9,31,22.5,673.7,359.0,433.7,8.0,11.2,1,6,,,,,,,
PA-DSE,,40,0,100.0,832.5,359.0,417.9,8.0,10.8,8,10,histogram,240.0,80.0,120.0,0.0,40.0,83.3
