run_id,config_id,skip_step,skip_reason,matching_signature_id,matching_signature_type,matching_signature_cond,signature_conf_at_skip,signature_n_fail,signature_n_counter,is_subsumed_product,ground_truth_feasible
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,126,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,255,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,242,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,287,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,101,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,312,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,158,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,249,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,141,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,281,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,227,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,108,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,341,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,155,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,203,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,230,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,156,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,114,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,89,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,96,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,165,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,239,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,261,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,123,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,251,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,264,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,402,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,119,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,215,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,179,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,129,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,348,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,140,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,347,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,204,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,278,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,329,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,344,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,399,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,159,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,266,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,414,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,219,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,294,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,299,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,389,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,386,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,164,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,273,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,143,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,320,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,224,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,330,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,267,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,291,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,186,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,327,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,137,15,rpe_signature,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
