run_id,event,eval_step,signature_id,error_type,conditions,conf,n_fail,n_counter,subsumed_signature_id
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,activated,14,1872,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,
PA-DSE_phago+RPE_vadd_B120_sNone_8945682,updated,15,1872,generic_error,"{""pipeline"": ""True""}",0.8182,9,0,
PA-DSE_phago+Full_vadd_B120_sNone_293139,activated,66,51920,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,
PA-DSE_phago+RPE_gcd_B120_sNone_6071494,activated,58,51920,timeout,"{""buffer_algorithm"": ""fpl22"", ""fast_token_delivery"": ""False""}",0.8000,8,0,
