strategy,benchmark,config_id,success,area,latency,error_type,synthesis_time_s
Grid_offline_ref,matmul,99,False,,,param_incompatibility,2.48
Grid_offline_ref,matmul,100,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,101,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,102,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,103,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,104,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,105,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,106,False,,,param_incompatibility,2.41
Grid_offline_ref,matmul,107,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,108,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,109,False,,,param_incompatibility,0.42
Grid_offline_ref,matmul,110,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,111,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,112,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,113,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,114,False,,,param_incompatibility,2.41
Grid_offline_ref,matmul,115,False,,,param_incompatibility,0.4
Grid_offline_ref,matmul,116,False,,,param_incompatibility,2.41
Grid_offline_ref,matmul,117,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,118,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,119,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,120,False,,,param_incompatibility,2.41
Grid_offline_ref,matmul,121,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,122,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,123,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,124,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,125,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,126,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,127,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,128,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,129,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,130,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,131,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,132,False,,,pipeline_phi_conflict,2.43
Grid_offline_ref,matmul,133,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,134,False,,,pipeline_phi_conflict,2.42
Grid_offline_ref,matmul,135,False,,,pipeline_phi_conflict,2.43
Grid_offline_ref,matmul,136,False,,,pipeline_phi_conflict,2.43
Grid_offline_ref,matmul,137,False,,,pipeline_phi_conflict,2.43
Grid_offline_ref,matmul,138,False,,,pipeline_phi_conflict,2.41
Grid_offline_ref,matmul,139,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,140,False,,,pipeline_phi_conflict,2.43
Grid_offline_ref,matmul,141,False,,,pipeline_phi_conflict,2.43
Grid_offline_ref,matmul,142,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,143,False,,,pipeline_phi_conflict,2.44
Grid_offline_ref,matmul,144,False,,,param_incompatibility,2.41
Grid_offline_ref,matmul,145,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,146,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,147,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,148,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,149,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,150,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,151,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,152,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,153,False,,,param_incompatibility,2.41
Grid_offline_ref,matmul,154,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,155,False,,,param_incompatibility,2.4
Grid_offline_ref,matmul,156,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,157,False,,,param_incompatibility,0.41
