strategy,total_configs,successful,failed,success_rate_pct,total_time_s,best_area,mean_area,best_latency,mean_latency,pareto_points,unique_qor_points,benchmark,initial_configs,static_blocked,static_suppressed,autophagy_suppressed,actual_runs,budget_saving_vs_full_pct
Grid Search,10.0,3,7,30.0,193.9,277.0,277.0,9.0,11.3,1,3,,,,,,,
Random 30%,10.0,4,6,40.0,184.5,277.0,377.2,11.0,13.0,1,4,,,,,,,
LHS 20%,10.0,3,7,30.0,152.7,277.0,299.3,9.0,11.3,1,3,,,,,,,
PA-DSE,,10,0,100.0,204.0,277.0,323.8,12.0,14.1,2,5,fir,240.0,80.0,120.0,0.0,10.0,95.8
