strategy,total_configs,successful,failed,success_rate_pct,total_time_s,best_area,mean_area,best_latency,mean_latency,pareto_points,unique_qor_points,benchmark,initial_configs,static_blocked,static_suppressed,autophagy_suppressed,actual_runs,budget_saving_vs_full_pct
Grid Search,40.0,10,30,25.0,800.3,277.0,310.5,9.0,12.6,2,8,,,,,,,
Random 30%,40.0,9,31,22.5,706.4,277.0,395.8,9.0,12.7,1,7,,,,,,,
LHS 20%,40.0,9,31,22.5,656.2,277.0,343.9,9.0,12.8,1,6,,,,,,,
PA-DSE,,40,0,100.0,817.6,277.0,335.5,8.0,12.2,2,15,fir,240.0,80.0,120.0,0.0,40.0,83.3
