strategy,total_configs,successful,failed,success_rate_pct,total_time_s,best_area,mean_area,best_latency,mean_latency,pareto_points,unique_qor_points,benchmark,initial_configs,static_blocked,static_suppressed,autophagy_suppressed,actual_runs,budget_saving_vs_full_pct
Grid Search,20.0,20,0,100.0,400.6,201.0,251.5,6.0,7.7,8,3,,,,,,,
Random 30%,18.0,12,6,66.7,297.1,201.0,262.6,5.0,7.2,1,6,,,,,,,
LHS 20%,13.0,7,6,53.8,210.5,201.0,263.3,5.0,6.6,1,5,,,,,,,
PA-DSE,,20,0,100.0,408.4,201.0,264.8,5.0,7.2,2,6,vadd,60.0,20.0,0.0,0.0,20.0,66.7
