strategy,total_configs,successful,failed,success_rate_pct,total_time_s,best_area,mean_area,best_latency,mean_latency,pareto_points,unique_qor_points,benchmark,initial_configs,static_blocked,static_suppressed,autophagy_suppressed,actual_runs,budget_saving_vs_full_pct
Grid Search,20.0,5,15,25.0,405.5,359.0,359.2,8.0,9.0,2,4,,,,,,,
Random 30%,20.0,6,14,30.0,317.5,360.0,465.3,8.0,12.2,1,5,,,,,,,
LHS 20%,20.0,6,14,30.0,301.1,359.0,420.7,8.0,10.5,1,6,,,,,,,
PA-DSE,,20,0,100.0,415.3,359.0,406.1,8.0,11.2,8,7,histogram,240.0,80.0,120.0,0.0,20.0,91.7
