strategy,total_configs,successful,failed,success_rate_pct,total_time_s,best_area,mean_area,best_latency,mean_latency,pareto_points,unique_qor_points,benchmark,initial_configs,static_blocked,static_suppressed,autophagy_suppressed,actual_runs,budget_saving_vs_full_pct
Grid Search,20.0,5,15,25.0,390.9,445.0,445.0,10.0,11.8,2,4,,,,,,,
Random 30%,20.0,6,14,30.0,311.6,445.0,607.0,11.0,14.3,1,5,,,,,,,
LHS 20%,20.0,6,14,30.0,291.3,445.0,534.3,10.0,12.8,1,6,,,,,,,
PA-DSE,,20,0,100.0,409.5,444.0,508.4,10.0,14.1,1,10,matmul,240.0,80.0,120.0,0.0,20.0,91.7
