strategy,total_configs,successful,failed,success_rate_pct,total_time_s,best_area,mean_area,best_latency,mean_latency,pareto_points,unique_qor_points,benchmark,initial_configs,static_blocked,static_suppressed,autophagy_suppressed,actual_runs,budget_saving_vs_full_pct
Grid Search,10.0,3,7,30.0,201.7,445.0,445.0,10.0,12.3,1,3,,,,,,,
Random 30%,10.0,4,6,40.0,183.7,445.0,579.0,11.0,13.8,1,4,,,,,,,
LHS 20%,10.0,3,7,30.0,153.1,445.0,478.3,10.0,12.0,1,3,,,,,,,
PA-DSE,,10,0,100.0,205.1,444.0,508.5,12.0,15.3,3,5,matmul,240.0,80.0,120.0,0.0,10.0,95.8
