strategy,total_evaluated,successful,failed,success_rate_pct,total_time_s,best_components,mean_components,best_buffers,mean_buffers,benchmark
Grid Search,30,10,20,33.3,1528.2,63,63.0,14,14.0,matching
Random 30%,30,11,19,36.7,888.6,62,69.5,14,14.0,matching
LHS 20%,30,10,20,33.3,970.4,62,68.0,14,14.0,matching
PA-DSE,30,30,0,100.0,1067.9,62,69.2,14,14.0,matching
