run_id,config_id,skip_step,skip_reason,matching_signature_id,matching_signature_type,matching_signature_cond,signature_conf_at_skip,signature_n_fail,signature_n_counter,is_subsumed_product,ground_truth_feasible
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,236,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,321,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,131,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,285,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,315,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,398,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,260,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,168,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,206,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,369,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,102,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,380,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,282,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,134,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,408,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,86,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,177,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,95,15,rpe_signature,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,False,
