run_id,event,eval_step,signature_id,error_type,conditions,conf,n_fail,n_counter,subsumed_signature_id
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,activated,14,93360,generic_error,"{""pipeline"": ""True""}",0.8000,8,0,
PA-DSE_phago+RPE_vadd_B60_sNone_6834080,updated,15,93360,generic_error,"{""pipeline"": ""True""}",0.8182,9,0,
