id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy,benchmark,error_type,pruned_by_autophagy
0,bambu,5,False,,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,18.59,True,PA-DSE,histogram,,False
2,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,1,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,19.51,True,PA-DSE,histogram,,False
3,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,2,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,21.77,True,PA-DSE,histogram,,False
5,bambu,5,False,,ALL_BRAM,MEM_ACC_NN,2,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,20.88,True,PA-DSE,histogram,,False
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,18.18,True,PA-DSE,histogram,,False
8,bambu,5,False,,NO_BRAM,MEM_ACC_N1,1,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,20.4,True,PA-DSE,histogram,,False
9,bambu,5,False,,NO_BRAM,MEM_ACC_N1,2,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,20.7,True,PA-DSE,histogram,,False
11,bambu,5,False,,NO_BRAM,MEM_ACC_NN,2,12.0,14.0,218.40737328982172,0.4213999969999993,526.0,389.0,137.0,0.0,340.0,48.0,16.0,8.0,21.22,True,PA-DSE,histogram,,False
12,bambu,8,False,,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,128.92911470620749,0.24379999600002233,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,21.33,True,PA-DSE,histogram,,False
14,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,1,11.0,9.0,128.92911470620749,0.24379999600002233,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,20.7,True,PA-DSE,histogram,,False
15,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,2,11.0,9.0,128.92911470620749,0.24379999600002233,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,22.35,True,PA-DSE,histogram,,False
17,bambu,8,False,,ALL_BRAM,MEM_ACC_NN,2,11.0,9.0,125.83048111242708,0.05279999600001983,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,21.5,True,PA-DSE,histogram,,False
18,bambu,8,False,,NO_BRAM,MEM_ACC_11,1,11.0,13.0,156.88240749624057,1.6257989920000224,460.0,322.0,138.0,0.0,354.0,48.0,13.0,9.0,18.72,True,PA-DSE,histogram,,False
20,bambu,8,False,,NO_BRAM,MEM_ACC_N1,1,11.0,13.0,156.88240749624057,1.6257989920000224,460.0,322.0,138.0,0.0,354.0,48.0,13.0,9.0,22.62,True,PA-DSE,histogram,,False
21,bambu,8,False,,NO_BRAM,MEM_ACC_N1,2,11.0,13.0,156.88240749624057,1.6257989920000224,460.0,322.0,138.0,0.0,354.0,48.0,13.0,9.0,15.84,True,PA-DSE,histogram,,False
23,bambu,8,False,,NO_BRAM,MEM_ACC_NN,2,11.0,13.0,156.88240749624057,1.6257989920000224,527.0,389.0,138.0,0.0,354.0,48.0,13.0,9.0,20.61,True,PA-DSE,histogram,,False
24,bambu,10,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,103.85077631770244,0.370798992000027,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,21.29,True,PA-DSE,histogram,,False
26,bambu,10,False,,ALL_BRAM,MEM_ACC_N1,1,10.0,8.0,103.85077631770244,0.370798992000027,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,21.55,True,PA-DSE,histogram,,False
27,bambu,10,False,,ALL_BRAM,MEM_ACC_N1,2,10.0,8.0,103.85077631770244,0.370798992000027,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,20.24,True,PA-DSE,histogram,,False
29,bambu,10,False,,ALL_BRAM,MEM_ACC_NN,2,10.0,8.0,101.83090948803952,0.17979899200002447,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,21.89,True,PA-DSE,histogram,,False
30,bambu,10,False,,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483123,0.4931989920000259,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,22.02,True,PA-DSE,histogram,,False
32,bambu,10,False,,NO_BRAM,MEM_ACC_N1,1,10.0,12.0,105.18785437483123,0.4931989920000259,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,19.82,True,PA-DSE,histogram,,False
33,bambu,10,False,,NO_BRAM,MEM_ACC_N1,2,10.0,12.0,105.18785437483123,0.4931989920000259,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,21.61,True,PA-DSE,histogram,,False
35,bambu,10,False,,NO_BRAM,MEM_ACC_NN,2,10.0,12.0,105.2210583069063,0.49619899200002604,527.0,389.0,138.0,0.0,322.0,48.0,12.0,9.0,21.29,True,PA-DSE,histogram,,False
36,bambu,15,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758764,3.617798991999998,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,14.48,True,PA-DSE,histogram,,False
38,bambu,15,False,,ALL_BRAM,MEM_ACC_N1,1,10.0,8.0,87.85646987758764,3.617798991999998,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,21.22,True,PA-DSE,histogram,,False
39,bambu,15,False,,ALL_BRAM,MEM_ACC_N1,2,10.0,8.0,87.85646987758764,3.617798991999998,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,19.8,True,PA-DSE,histogram,,False
41,bambu,15,False,,ALL_BRAM,MEM_ACC_NN,2,10.0,8.0,86.40651789498406,3.4267989919999957,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,22.87,True,PA-DSE,histogram,,False
42,bambu,15,False,,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483075,5.493198991999983,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,19.67,True,PA-DSE,histogram,,False
44,bambu,15,False,,NO_BRAM,MEM_ACC_N1,1,10.0,12.0,105.18785437483075,5.493198991999983,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,22.66,True,PA-DSE,histogram,,False
45,bambu,15,False,,NO_BRAM,MEM_ACC_N1,2,10.0,12.0,105.18785437483075,5.493198991999983,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,21.47,True,PA-DSE,histogram,,False
47,bambu,15,False,,NO_BRAM,MEM_ACC_NN,2,10.0,12.0,105.2210583069058,5.496198991999983,527.0,389.0,138.0,0.0,322.0,48.0,12.0,9.0,21.61,True,PA-DSE,histogram,,False
48,bambu,20,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758756,8.617798991999985,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,21.82,True,PA-DSE,histogram,,False
50,bambu,20,False,,ALL_BRAM,MEM_ACC_N1,1,10.0,8.0,87.85646987758756,8.617798991999985,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,21.83,True,PA-DSE,histogram,,False
51,bambu,20,False,,ALL_BRAM,MEM_ACC_N1,2,10.0,8.0,87.85646987758756,8.617798991999985,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,17.6,True,PA-DSE,histogram,,False
53,bambu,20,False,,ALL_BRAM,MEM_ACC_NN,2,10.0,8.0,86.40651789498396,8.426798991999982,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,21.33,True,PA-DSE,histogram,,False
54,bambu,20,False,,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483076,10.493198991999984,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,21.54,True,PA-DSE,histogram,,False
56,bambu,20,False,,NO_BRAM,MEM_ACC_N1,1,10.0,12.0,105.18785437483076,10.493198991999984,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,20.0,True,PA-DSE,histogram,,False
57,bambu,20,False,,NO_BRAM,MEM_ACC_N1,2,10.0,12.0,105.18785437483076,10.493198991999984,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,20.74,True,PA-DSE,histogram,,False
59,bambu,20,False,,NO_BRAM,MEM_ACC_NN,2,10.0,12.0,105.22105830690582,10.496198991999984,527.0,389.0,138.0,0.0,322.0,48.0,12.0,9.0,21.57,True,PA-DSE,histogram,,False
60,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,21.32,False,PA-DSE,histogram,pipeline_phi_conflict,False
62,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_N1,1,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,20.49,False,PA-DSE,histogram,pipeline_phi_conflict,False
63,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_N1,2,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,20.46,False,PA-DSE,histogram,pipeline_phi_conflict,False
65,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_NN,2,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,18.69,False,PA-DSE,histogram,pipeline_phi_conflict,False
66,bambu,5,True,1.0,NO_BRAM,MEM_ACC_11,1,12.0,14.0,218.40737328982172,0.4213999969999993,,,,,,,,,17.36,False,PA-DSE,histogram,pipeline_phi_conflict,False
72,bambu,5,True,2.0,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,19.14,False,PA-DSE,histogram,generic_error,False
74,bambu,5,True,2.0,ALL_BRAM,MEM_ACC_N1,1,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,21.58,False,PA-DSE,histogram,generic_error,False
75,bambu,5,True,2.0,ALL_BRAM,MEM_ACC_N1,2,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,20.47,False,PA-DSE,histogram,generic_error,False
77,bambu,5,True,2.0,ALL_BRAM,MEM_ACC_NN,2,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,18.7,False,PA-DSE,histogram,generic_error,False
