strategy,total_configs,successful,failed,success_rate_pct,total_time_s,best_area,mean_area,best_latency,mean_latency,pareto_points,unique_qor_points,benchmark,initial_configs,static_blocked,static_suppressed,autophagy_suppressed,actual_runs,budget_saving_vs_full_pct
Grid Search,20.0,5,15,25.0,395.4,277.0,277.0,9.0,11.0,2,4,,,,,,,
Random 30%,20.0,6,14,30.0,320.9,277.0,399.5,11.0,13.5,1,5,,,,,,,
LHS 20%,20.0,6,14,30.0,291.4,277.0,343.8,9.0,12.2,1,6,,,,,,,
PA-DSE,,13,7,65.0,342.5,277.0,318.2,11.0,13.8,1,7,fir,240.0,0.0,0.0,0.0,20.0,91.7
